,N1,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N2,N20,N21,N22,N23,N24,N25,N26,N27,N28,N29,N3,N30,N31,N32,N33,N34,N35,N36,N37,N38,N39,N4,N40,N41,N42,N43,N44,N45,N46,N47,N48,N49,N5,N50,N51,N52,N53,N54,N55,N56,N57,N58,N59,N6,N60,N61,N62,N63,N64,N65,N66,N67,N68,N69,N7,N70,N71,N72,N73,N74,N75,N76,N77,N78,N79,N8,N80,N81,N82,N83,N84,N85,N86,N87,N9
N19,0.056,0.41400000000000003,0.706,0.315,0.108,1.305,0.793,3.773,1.6709999999999998,0.57,0,0.183,1.238,0.43900000000000006,0.41200000000000003,0.053,3.125,1.248,0.44900000000000007,2.353,2.612,0.264,3.0180000000000002,0.339,0.4,0.859,0.27599999999999997,0.324,1.047,1.805,1.173,0.527,0.781,0.586,1.342,1.467,3.0210000000000004,0.275,2.9330000000000003,1.7770000000000001,0.9390000000000001,2.105,0.8140000000000001,2.055,0.503,2.117,0.154,3.7050000000000005,0.099,4.077000000000001,0.631,1.9689999999999999,1.072,2.66,2.774,4.289,0.28400000000000003,1.759,2.562,2.661,1.1909999999999998,2.015,0.192,0.142,3.4240000000000004,0.238,2.056,0.48,0.358,2.405,3.4600000000000004,0.321,2.135,1.706,0.237,1.691,0.33099999999999996,0.182,0.788,0.758,0.794,2.68,1.236,4.498,0.8,0.40399999999999997,1.157
N2,0.127,0.30500000000000005,0.881,0.132,0.17099999999999999,1.48,0.968,3.95,1.8459999999999996,0.389,0.183,0,1.413,0.614,0.229,0.22799999999999998,3.3,1.423,0.27,2.528,2.787,0.32699999999999996,3.193,0.514,0.263,1.0339999999999998,0.095,0.482,1.2219999999999998,1.98,1.3479999999999999,0.34400000000000003,0.5980000000000001,0.40499999999999997,1.5190000000000001,1.6440000000000001,3.196,0.44999999999999996,3.108,1.9540000000000002,0.9950000000000001,2.282,0.8700000000000001,2.23,0.32,2.294,0.21800000000000003,3.8800000000000003,0.276,4.252000000000001,0.808,2.1439999999999997,1.249,2.837,2.949,4.4639999999999995,0.45899999999999996,1.9339999999999997,2.739,2.838,1.3659999999999997,2.19,0.084,0.041,3.599,0.133,2.231,0.299,0.177,2.58,3.6350000000000002,0.214,2.191,1.881,0.299,1.866,0.393,0.357,0.6050000000000001,0.575,0.6110000000000001,2.855,1.413,4.673,0.6170000000000001,0.223,1.332
N20,1.294,1.651,1.944,1.385,1.242,2.069,2.0309999999999997,2.649,2.9090000000000003,1.6500000000000001,1.238,1.413,0,0.799,1.482,1.185,4.363,2.1290000000000004,1.683,3.5910000000000006,3.8500000000000005,1.118,1.7799999999999998,0.899,1.254,2.097,1.508,0.9630000000000001,2.285,0.567,2.411,1.447,1.701,1.658,1.625,1.5,1.783,1.513,1.6949999999999998,2.479,1.299,2.807,1.174,0.817,1.573,1.057,1.3920000000000001,2.467,1.337,2.839,1.869,3.2070000000000003,1.895,1.6,4.0120000000000005,5.527,0.9540000000000001,2.9970000000000003,3.264,3.363,2.4290000000000003,0.7769999999999999,1.329,1.379,2.186,1.475,3.2940000000000005,1.56,1.59,1.167,2.222,1.558,1.1340000000000001,0.468,1.475,0.453,1.5690000000000002,1.42,1.708,1.8279999999999998,1.714,1.442,1.938,3.26,1.72,1.478,2.0100000000000002
N21,0.495,0.852,1.145,0.5860000000000001,0.443,1.744,1.232,3.4480000000000004,2.11,0.851,0.439,0.614,0.799,0,0.683,0.386,3.564,1.687,0.8839999999999999,2.7920000000000003,3.051,0.319,2.579,0.1,0.455,1.298,0.709,0.164,1.486,1.366,1.612,0.648,0.902,0.859,1.7810000000000001,1.9060000000000001,2.5820000000000003,0.714,2.494,2.216,0.5,2.544,0.375,1.616,0.774,1.856,0.593,3.2660000000000005,0.538,3.6380000000000003,1.07,2.408,1.5110000000000001,2.399,3.213,4.728,0.155,2.198,3.001,3.1,1.63,1.576,0.53,0.5800000000000001,2.9850000000000003,0.676,2.495,0.761,0.7909999999999999,1.9659999999999997,3.0210000000000004,0.759,1.696,1.267,0.6759999999999999,1.252,0.7699999999999999,0.621,0.909,1.029,0.915,2.241,1.675,4.059,0.921,0.679,1.596
N22,0.356,0.52,1.098,0.097,0.4,1.697,1.185,4.131,2.0629999999999997,0.362,0.412,0.229,1.482,0.6829999999999999,0,0.457,3.5169999999999995,1.6400000000000001,0.485,2.745,3.004,0.364,3.262,0.583,0.228,1.251,0.318,0.519,1.4389999999999998,2.049,1.565,0.115,0.369,0.176,1.7420000000000002,1.8670000000000002,3.265,0.667,3.177,2.177,0.766,2.505,0.641,2.299,0.091,2.5170000000000003,0.441,3.9490000000000003,0.499,4.321000000000001,1.0310000000000001,2.3609999999999998,1.4720000000000002,3.0600000000000005,3.166,4.680999999999999,0.559,2.151,2.9619999999999997,3.061,1.5829999999999997,2.259,0.313,0.27,3.668,0.356,2.448,0.272,0.394,2.649,3.704,0.431,1.962,1.95,0.516,1.935,0.61,0.5740000000000001,0.376,0.346,0.382,2.924,1.6360000000000001,4.742,0.388,0.19,1.5490000000000002
N23,0.109,0.4660000000000001,0.759,0.36,0.057,1.3579999999999999,0.846,3.826,1.7239999999999998,0.6169999999999999,0.053,0.22799999999999998,1.185,0.386,0.45699999999999996,0,3.178,1.301,0.498,2.406,2.665,0.213,2.9650000000000003,0.28600000000000003,0.349,0.9119999999999999,0.32299999999999995,0.271,1.0999999999999999,1.752,1.226,0.542,0.796,0.6329999999999999,1.395,1.52,2.9680000000000004,0.32799999999999996,2.8800000000000003,1.83,0.886,2.158,0.761,2.0020000000000002,0.5479999999999999,2.17,0.20700000000000002,3.6520000000000006,0.152,4.024000000000001,0.684,2.022,1.125,2.713,2.827,4.342,0.231,1.8119999999999998,2.6149999999999998,2.714,1.2439999999999998,1.962,0.144,0.194,3.3710000000000004,0.29000000000000004,2.109,0.5269999999999999,0.40499999999999997,2.352,3.4070000000000005,0.37300000000000005,2.082,1.653,0.29000000000000004,1.6380000000000001,0.384,0.235,0.803,0.8029999999999999,0.809,2.6270000000000002,1.289,4.445,0.8150000000000001,0.45099999999999996,1.21
N24,3.1810000000000005,2.997,3.076,3.4199999999999995,3.2330000000000005,3.6750000000000003,2.969,6.318,1.454,3.1550000000000002,3.1250000000000004,3.3,4.363,3.5640000000000005,3.5169999999999995,3.1780000000000004,0,3.424,3.032,2.294,2.553,3.3890000000000007,6.143000000000001,3.4640000000000004,3.525000000000001,2.266,3.2049999999999996,3.4490000000000003,2.078,4.930000000000001,1.954,3.6319999999999997,3.874999999999999,3.3509999999999995,3.887,4.0120000000000005,6.146000000000001,2.85,6.058000000000001,4.322,4.064,4.65,3.9390000000000005,5.180000000000001,3.4289999999999994,4.662,3.084,6.830000000000001,3.0260000000000002,7.202000000000001,3.176,1.156,3.617,5.205,2.02,2.88,3.4090000000000003,1.7,5.107,4.21,1.934,4.735,3.315,3.265,6.549,3.169,1.9969999999999999,3.2449999999999997,3.1229999999999998,5.53,6.585,3.086,5.26,4.831,3.001,4.816000000000001,2.907,2.943,3.8819999999999992,3.6839999999999993,3.861999999999999,5.805000000000001,3.781,7.623000000000001,3.8769999999999993,3.3269999999999995,3.527
N25,1.304,1.12,0.562,1.543,1.356,0.267,0.455,2.935,1.9699999999999998,1.278,1.248,1.423,2.1289999999999996,1.687,1.64,1.301,3.4239999999999995,0,1.155,2.652,2.911,1.512,3.184,1.587,1.6480000000000001,1.158,1.328,1.572,1.3459999999999999,1.5619999999999998,1.472,1.755,1.9979999999999998,1.474,0.504,0.629,3.1870000000000003,0.9730000000000001,3.099,0.9390000000000001,2.1870000000000003,1.2670000000000001,2.0620000000000003,2.221,1.552,1.279,1.207,3.8710000000000004,1.149,4.243,0.662,2.268,0.23399999999999999,1.822,3.073,4.587999999999999,1.532,2.058,1.7240000000000002,1.8230000000000002,1.4899999999999998,1.3519999999999999,1.4380000000000002,1.3880000000000001,3.398,1.292,2.355,1.3679999999999999,1.246,3.2959999999999994,3.362,1.209,3.2629999999999995,2.5969999999999995,1.124,2.5819999999999994,1.03,1.066,2.005,1.807,1.9849999999999999,2.846,0.398,4.664,1.9999999999999998,1.45,0.119
N26,0.393,0.035,0.795,0.388,0.44100000000000006,1.394,0.7,4.0280000000000005,1.5779999999999998,0.123,0.449,0.27,1.6830000000000003,0.8840000000000001,0.485,0.49800000000000005,3.032,1.155,0,2.26,2.5189999999999997,0.5970000000000001,3.463,0.7840000000000001,0.519,0.766,0.175,0.7520000000000001,0.954,2.25,1.08,0.6,0.8429999999999999,0.319,1.5970000000000002,1.7220000000000002,3.466,0.182,3.378,2.032,1.251,2.36,1.126,2.5,0.39699999999999996,2.372,0.29600000000000004,4.15,0.35400000000000004,4.522,0.8860000000000001,1.876,1.3270000000000002,2.915,2.681,4.196,0.7290000000000001,1.666,2.8169999999999997,2.916,1.0979999999999999,2.4450000000000003,0.35400000000000004,0.30700000000000005,3.8689999999999998,0.21100000000000002,1.9629999999999999,0.213,0.093,2.85,3.905,0.128,2.447,2.1510000000000002,0.21300000000000002,2.136,0.125,0.271,0.8499999999999999,0.6519999999999999,0.8299999999999998,3.125,1.491,4.943,0.8449999999999999,0.295,1.246
N27,2.4090000000000003,2.2249999999999996,2.304,2.6479999999999992,2.4610000000000003,2.903,2.1969999999999996,5.254,1.436,2.383,2.353,2.5279999999999996,3.591,2.7920000000000003,2.744999999999999,2.406,2.2939999999999996,2.6519999999999997,2.26,0,0.259,2.6170000000000004,5.371,2.692,2.7530000000000006,1.4939999999999998,2.4329999999999994,2.677,1.3059999999999998,4.158,1.182,2.8599999999999994,3.102999999999999,2.5789999999999993,3.1149999999999998,3.2399999999999998,5.3740000000000006,2.078,5.2860000000000005,2.8,3.2920000000000003,2.472,3.1670000000000003,4.408,2.656999999999999,3.8899999999999997,2.312,6.058000000000001,2.254,6.430000000000001,2.404,1.138,2.8449999999999998,4.141,0.924,4.054,2.637,0.594,2.929,1.916,1.162,3.9629999999999996,2.5429999999999997,2.493,5.716999999999999,2.397,0.297,2.4729999999999994,2.3509999999999995,4.758,5.680999999999999,2.3139999999999996,4.488,4.059,2.2289999999999996,4.0440000000000005,2.135,2.171,3.109999999999999,2.911999999999999,3.089999999999999,5.033,3.009,6.851000000000001,3.104999999999999,2.5549999999999993,2.755
N28,2.668,2.4839999999999995,2.5629999999999997,2.906999999999999,2.72,3.162,2.4559999999999995,4.994999999999999,1.695,2.6419999999999995,2.612,2.7869999999999995,3.85,3.051,3.003999999999999,2.665,2.553,2.9109999999999996,2.5189999999999997,0.259,0,2.8760000000000003,5.63,2.951,3.0120000000000005,1.7529999999999997,2.6919999999999993,2.936,1.5649999999999997,4.417,1.4409999999999998,3.1189999999999993,3.3619999999999988,2.837999999999999,3.3739999999999997,3.4989999999999997,5.633,2.3369999999999997,5.545,2.541,3.551,2.213,3.426,4.667,2.915999999999999,3.963,2.5709999999999997,6.068999999999998,2.513,6.440999999999998,2.663,1.397,3.1039999999999996,3.8819999999999997,0.665,4.313,2.896,0.853,2.67,1.657,1.4209999999999998,4.2219999999999995,2.8019999999999996,2.752,5.457999999999998,2.6559999999999997,0.556,2.7319999999999993,2.6099999999999994,5.0169999999999995,5.421999999999999,2.5729999999999995,4.747,4.318,2.4879999999999995,4.303,2.3939999999999997,2.4299999999999997,3.368999999999999,3.170999999999999,3.348999999999999,5.292,3.082,7.109999999999999,3.363999999999999,2.813999999999999,3.014
N29,0.208,0.5650000000000001,0.97,0.267,0.156,1.569,1.057,3.7670000000000003,1.9349999999999998,0.532,0.264,0.327,1.118,0.319,0.364,0.213,3.3889999999999993,1.512,0.597,2.617,2.876,0,2.898,0.219,0.136,1.123,0.42200000000000004,0.155,1.311,1.685,1.4369999999999998,0.329,0.583,0.5399999999999999,1.606,1.731,2.9010000000000002,0.539,2.813,2.041,0.819,2.3689999999999998,0.694,1.935,0.45499999999999996,2.175,0.306,3.5850000000000004,0.363,3.9570000000000003,0.895,2.2329999999999997,1.336,2.718,3.038,4.553,0.195,2.0229999999999997,2.8259999999999996,2.925,1.4549999999999998,1.895,0.243,0.293,3.3040000000000003,0.389,2.32,0.442,0.504,2.285,3.3400000000000003,0.47200000000000003,2.0149999999999997,1.586,0.389,1.5710000000000002,0.483,0.446,0.59,0.71,0.596,2.56,1.5,4.378,0.602,0.36,1.421
N3,3.0740000000000003,3.4310000000000005,3.491,3.165,3.0220000000000002,3.1240000000000006,3.5980000000000003,1.5450000000000002,4.689,3.4299999999999997,3.0180000000000002,3.1930000000000005,1.78,2.579,3.262,2.9650000000000003,6.143,3.184,3.4630000000000005,5.3709999999999996,5.63,2.898,0,2.6790000000000003,3.0340000000000003,3.8770000000000007,3.2880000000000007,2.7430000000000003,4.065,1.622,4.191000000000001,3.2270000000000003,3.4810000000000003,3.438,2.68,2.555,0.025,3.2930000000000006,0.085,3.5340000000000003,3.079,3.862,2.954,0.9630000000000001,3.353,2.112,3.172,0.7090000000000001,3.1170000000000004,1.081,3.391,4.987,2.95,2.6550000000000002,5.792,7.307,2.7340000000000004,4.777,4.059,4.418,4.2090000000000005,1.832,3.1090000000000004,3.1590000000000003,1.082,3.2550000000000003,5.074,3.34,3.3700000000000006,1.0250000000000001,1.118,3.3380000000000005,2.008,1.3419999999999999,3.2550000000000003,1.327,3.349,3.2000000000000006,3.4880000000000004,3.608,3.494,0.338,2.9930000000000003,1.48,3.5000000000000004,3.258,3.0650000000000004
N30,0.395,0.752,1.045,0.486,0.343,1.644,1.1320000000000001,3.548,2.01,0.7509999999999999,0.339,0.514,0.899,0.1,0.583,0.28600000000000003,3.4639999999999995,1.5870000000000002,0.7839999999999999,2.692,2.951,0.219,2.6790000000000003,0,0.355,1.198,0.609,0.064,1.386,1.466,1.512,0.548,0.802,0.7589999999999999,1.681,1.806,2.6820000000000004,0.614,2.5940000000000003,2.116,0.6,2.444,0.475,1.7160000000000002,0.6739999999999999,1.956,0.493,3.3660000000000005,0.43800000000000006,3.7380000000000004,0.9700000000000001,2.308,1.411,2.499,3.113,4.628,0.055,2.098,2.901,3.0,1.5299999999999998,1.676,0.43000000000000005,0.48000000000000004,3.085,0.5760000000000001,2.395,0.6609999999999999,0.691,2.066,3.121,0.659,1.7959999999999998,1.367,0.576,1.352,0.6699999999999999,0.521,0.809,0.9289999999999999,0.8150000000000001,2.341,1.575,4.159000000000001,0.8210000000000001,0.579,1.496
N31,0.34400000000000003,0.554,1.1059999999999999,0.131,0.29200000000000004,1.7049999999999998,1.193,3.9030000000000005,2.0709999999999997,0.396,0.4,0.263,1.254,0.45500000000000007,0.228,0.34900000000000003,3.5249999999999995,1.6480000000000001,0.519,2.753,3.012,0.136,3.0340000000000003,0.35500000000000004,0,1.259,0.352,0.29100000000000004,1.4469999999999998,1.821,1.573,0.193,0.447,0.404,1.7420000000000002,1.8670000000000002,3.0370000000000004,0.6749999999999999,2.9490000000000003,2.177,0.8440000000000001,2.505,0.7190000000000001,2.071,0.319,2.311,0.44200000000000006,3.7210000000000005,0.499,4.093000000000001,1.0310000000000001,2.3689999999999998,1.4720000000000002,2.854,3.174,4.689,0.331,2.159,2.9619999999999997,3.061,1.5909999999999997,2.031,0.34700000000000003,0.304,3.4400000000000004,0.38999999999999996,2.456,0.306,0.428,2.421,3.4760000000000004,0.46499999999999997,2.04,1.722,0.525,1.707,0.619,0.582,0.454,0.5740000000000001,0.46,2.696,1.6360000000000001,4.514,0.466,0.224,1.557
N32,0.9149999999999999,0.731,0.8099999999999999,1.154,0.967,1.4089999999999998,0.703,4.052,0.8119999999999999,0.889,0.8589999999999999,1.034,2.097,1.298,1.251,0.9119999999999999,2.266,1.158,0.766,1.4939999999999998,1.7529999999999997,1.123,3.877,1.198,1.259,0,0.939,1.183,0.188,2.6639999999999997,0.314,1.3659999999999999,1.609,1.085,1.621,1.746,3.88,0.584,3.792,2.056,1.798,2.384,1.673,2.9139999999999997,1.163,2.396,0.818,4.564,0.7599999999999999,4.936,0.9099999999999999,1.1099999999999999,1.351,2.939,1.9149999999999998,3.4299999999999997,1.143,0.8999999999999999,2.8409999999999997,2.94,0.33199999999999996,2.469,1.049,0.9989999999999999,4.2829999999999995,0.9029999999999999,1.1969999999999998,0.979,0.857,3.264,4.318999999999999,0.82,2.9939999999999998,2.565,0.735,2.55,0.641,0.6769999999999999,1.6159999999999999,1.4180000000000001,1.596,3.5389999999999997,1.515,5.356999999999999,1.611,1.061,1.261
